company,grade,toeic,speaking,lang,cert,abr,inte,prize,vol,target
캐논코리아비즈니스솔루션(주),3.62,785.0,6.0,1.5,2.4,1.2,1.4,1.9,2.1,2
(주)지아이티,3.41,777.0,4.0,0.0,2.6,1.0,0.0,0.0,0.0,2
제이비우리캐피탈(주),3.69,826.0,6.0,1.0,3.2,1.0,3.0,0.0,2.0,2
에이테크솔루션(주),3.62,718.0,6.0,1.2,2.9,1.3,0.0,2.6,0.0,2
(주)삼보컴퓨터,3.58,789.0,7.0,1.0,2.8,1.4,1.7,1.3,1.5,2
한국철도시설공단,3.81,850.0,6.0,1.0,3.4,1.0,1.0,2.5,1.6,2
SK증권(주),3.82,867.0,7.0,1.0,2.2,1.4,1.2,1.5,0.0,2
한국언론진흥재단,3.85,862.0,7.0,1.0,1.4,1.8,0.0,2.0,2.8,2
(주)이씨에스텔레콤,3.56,775.0,0.0,0.0,1.5,3.0,1.0,0.0,1.0,2
한국임업진흥원,3.6,797.0,5.0,0.0,2.0,0.0,1.0,1.5,3.0,2
(주)셀트리온헬스케어,3.97,960.0,8.0,1.0,2.0,2.0,0.0,0.0,4.5,2
㈜에이플러스에셋어드바이저,3.76,843.0,0.0,1.0,3.0,1.0,2.0,1.7,1.7,2
(주)한국존슨앤드존슨,3.54,896.0,7.0,1.0,1.7,1.4,1.7,1.5,2.0,2
(주)호반호텔앤리조트,3.74,766.0,7.0,1.6,2.5,1.2,1.5,1.9,2.3,2
크래프톤,3.84,890.0,7.0,3.0,3.0,2.0,2.0,3.0,2.5,2
(주)에스에프에이,3.63,838.0,6.0,2.0,2.3,1.2,2.0,2.5,2.3,2
남해화학(주),3.6,765.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,2
HDC아이파크몰(주),3.63,858.0,6.0,1.0,2.4,1.2,2.2,2.6,2.0,2
CJ올리브영㈜,3.85,878.0,6.0,1.2,2.4,1.0,1.3,1.3,1.5,2
CJ프레시웨이㈜,3.69,856.0,7.0,1.0,2.0,1.2,1.1,1.7,2.0,2
CJ올리브네트웍스,3.63,853.0,6.0,1.0,2.4,1.3,1.2,1.5,2.0,2
CJ제일제당(주),3.71,869.0,7.0,1.3,2.5,1.2,1.2,2.0,2.3,2
(주)아이마켓코리아,3.64,801.0,6.0,1.2,2.6,1.5,1.2,1.6,1.6,2
해비치호텔앤드리조트(주),3.79,756.0,7.0,1.0,2.2,1.2,1.2,1.7,2.1,2
(주)엔씨소프트,3.6,835.0,6.0,1.1,2.3,1.5,1.4,1.7,2.0,2
한국수력원자력(주),3.76,772.0,6.0,1.0,2.9,1.1,1.8,2.7,1.4,2
영풍전자(주),3.61,770.0,5.0,1.3,2.4,1.4,1.3,2.3,1.3,2
한국교통연구원,3.98,758.0,7.0,1.1,2.2,1.4,2.0,2.0,2.3,2
(주)녹십자,3.7,841.0,6.0,2.0,2.2,1.4,1.3,2.4,2.5,2
㈜한미글로벌,3.56,810.0,0.0,1.3,2.3,1.4,1.0,4.0,0.0,2
(주)메조미디어,3.73,815.0,6.0,1.0,1.7,1.2,1.7,3.0,3.0,2
한국자산관리공사,3.67,804.0,6.0,1.1,2.9,1.2,1.6,1.3,2.2,2
대한무역투자진흥공사,3.74,891.0,7.0,1.2,2.0,1.5,2.0,1.7,2.3,2
건강보험심사평가원,3.88,827.0,7.0,1.0,2.9,1.1,1.3,1.8,2.7,2
한국국방연구원,3.97,868.0,8.0,1.0,2.8,1.3,2.0,1.0,2.7,2
네이버(주),3.75,805.0,6.0,1.2,2.6,1.4,1.3,2.3,1.5,2
(주)보미건설,3.62,763.0,0.0,0.0,3.0,1.8,1.5,2.3,1.0,2
FRL코리아㈜,3.72,866.0,7.0,1.4,2.8,1.4,1.5,1.6,2.1,2
SK하이닉스(주),3.78,843.0,6.0,1.2,2.2,1.2,1.1,1.6,1.8,2
(주)웅진씽크빅,3.72,795.0,6.0,1.3,2.6,1.2,1.4,2.1,2.2,2
(주)컴투스,3.73,842.0,6.0,1.3,2.6,1.4,1.4,2.1,1.9,2
유비벨록스(주),3.71,812.0,6.0,1.0,2.9,1.3,1.0,1.5,2.6,2
한화종합화학(주),3.31,865.0,7.0,1.0,2.0,1.3,0.0,1.0,1.0,2
코람코자산신탁,3.06,0.0,0.0,1.0,2.5,1.0,1.0,0.0,0.0,2
(주)이글루시큐리티,3.45,819.0,6.0,1.1,3.2,1.4,1.4,2.5,1.6,2
(주)넥슨코리아,3.78,806.0,6.0,0.0,2.3,1.0,1.3,2.4,2.5,2
(주)유신,3.47,848.0,7.0,1.0,2.5,1.1,1.0,2.0,2.5,2
엔에이치엔(주),3.62,781.0,6.0,0.0,3.4,1.0,1.4,2.1,1.0,2
(주)리드코프,3.52,770.0,0.0,1.0,2.4,1.3,1.5,2.3,2.4,2
㈜한국피자헛,3.74,713.0,0.0,1.0,2.3,1.8,1.0,1.3,1.0,2
지멘스(주),3.88,805.0,6.0,0.0,3.0,1.0,1.5,0.0,3.0,2
(주)이랜드월드,3.68,877.0,7.0,1.4,2.5,1.3,1.5,2.1,2.1,2
넷마블컴퍼니,3.75,820.0,6.0,1.0,2.0,1.8,1.3,1.9,1.9,2
한국저작권위원회,3.85,789.0,6.0,1.5,2.9,1.5,1.0,1.3,1.3,2
㈜KG이니시스,3.68,718.0,0.0,1.0,2.3,1.5,0.0,2.0,0.0,2
(주)더존비즈온,3.65,692.0,6.0,1.0,3.3,1.1,1.6,1.8,2.1,2
(주)LG상사,3.8,912.0,8.0,1.0,2.0,1.8,1.8,2.3,3.4,2
㈜다우기술,3.75,802.0,6.0,1.5,2.6,1.3,1.5,2.0,2.0,2
비플라이소프트(주),3.61,725.0,6.0,1.0,3.2,1.1,1.0,4.3,2.8,2
현대오토에버(주),3.73,837.0,7.0,1.0,1.9,1.4,1.3,1.7,1.8,2
한국맥도날드(유),3.63,792.0,6.0,1.6,2.5,1.4,1.5,1.5,1.8,2
(주)위메프,3.62,792.0,6.0,1.2,2.6,1.6,2.1,2.0,2.2,2
인카금융서비스㈜,3.21,803.0,6.0,1.0,3.5,1.0,1.0,1.3,2.0,2
유니슨(주),3.95,867.0,7.0,1.0,2.3,1.8,0.0,1.3,5.0,2
동화기업(주),3.4,861.0,7.0,2.0,3.2,1.5,1.2,1.0,2.6,2
굿어스(주),3.61,728.0,4.0,0.0,3.8,1.0,1.0,3.7,2.3,2
(재)한국의학연구소,3.82,745.0,6.0,1.0,2.2,1.0,1.6,1.9,2.1,2
능원금속공업(주),3.68,813.0,6.0,1.0,1.7,2.0,1.0,2.3,1.2,2
네이버아이앤에스(주),3.69,908.0,7.0,1.0,2.5,1.7,2.0,0.0,1.5,2
(주)비에스케이코퍼레이션,3.77,920.0,6.0,1.0,2.9,1.0,2.8,1.5,2.0,2
(주)파고다아카데미,3.85,891.0,8.0,1.3,1.9,1.5,1.3,2.0,2.3,2
(주)인트론바이오테크놀로지,4.14,765.0,7.0,1.0,2.0,1.2,0.0,0.0,1.0,2
SK텔레콤(주),3.74,866.0,7.0,1.0,2.1,1.3,1.3,1.6,1.5,2
(주)태영건설,3.71,791.0,0.0,0.0,2.8,1.0,0.0,3.0,0.0,2
인탑스(주),3.74,764.0,0.0,1.0,2.8,1.7,1.0,2.3,1.8,2
(주)위메이드,3.74,810.0,6.0,1.0,2.8,1.5,2.2,1.6,2.2,2
(주)한국거래소,3.78,891.0,7.0,0.0,2.0,1.3,1.0,1.0,1.0,2
브리티쉬아메리칸토바코코리아(주),3.49,875.0,8.0,1.0,2.3,1.1,1.0,1.0,2.5,2
신영증권(주),3.8,824.0,6.0,1.5,2.9,1.7,1.0,2.5,2.3,2
(주)한섬,3.78,832.0,6.0,1.1,2.3,1.3,1.3,1.5,1.8,2
한국마이크로소프트(유),3.59,878.0,7.0,1.0,2.3,1.4,1.8,2.0,2.6,2
(주)국보디자인,3.7,776.0,6.0,1.3,2.6,1.3,2.0,2.7,2.4,2
㈜에임메드,3.95,762.0,0.0,1.0,1.6,1.3,1.0,0.0,1.5,2
(주)다원시스,3.71,740.0,0.0,1.0,1.5,1.3,1.5,1.5,1.0,2
㈜GS ITM,3.82,733.0,6.0,0.0,3.3,1.0,1.0,2.0,1.0,2
한솔요리학원,3.8,663.0,0.0,0.0,4.0,1.5,4.0,2.0,1.0,2
동양E&P㈜,3.59,708.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,2
㈜재능이아카데미,3.68,950.0,7.0,0.0,2.0,0.0,1.5,2.0,2.0,2
바다원(주),4.15,810.0,0.0,1.0,3.3,1.0,2.0,0.0,3.0,2
(주)네오플,3.69,765.0,6.0,1.0,2.6,1.3,0.0,4.0,0.0,2
(주)코리아센터,3.58,785.0,7.0,1.6,2.7,1.3,1.9,2.0,1.7,2
에스케이렌터카(주),3.57,822.0,6.0,1.0,2.2,1.5,1.5,0.0,1.7,2
(주)에듀윌,3.74,798.0,6.0,1.0,2.5,1.6,1.7,2.0,2.4,2
현대모비스(주),3.73,858.0,6.0,1.3,2.2,1.2,1.3,1.5,1.8,2
㈜비아트론,3.39,773.0,0.0,1.0,2.7,1.0,2.0,0.0,1.5,2
현대성우오토모티브코리아㈜,3.39,843.0,5.0,1.5,1.7,1.3,0.0,3.0,1.7,2
㈜아모제,3.73,772.0,6.0,1.2,3.1,1.6,2.3,2.1,2.0,2
위본모터스㈜,3.72,830.0,7.0,2.0,2.2,2.7,0.0,1.0,1.0,2
